title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"Brillo Box (3 ¢ off)",movie,"Documentary, Family",2016,tt5113136,7,323,"AD, AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, GT, GY, HK, HN, ID, JM, LC, MX, MY, NI, PA, PE, PH, PY, SG, SV, TC, TH, TT, TW, UY, VE"
"Get Out",movie,"Horror, Mystery, Thriller",2017,tt5052448,7.8,739799,"AG, AR, BA, BB, BG, BO, BS, BZ, CL, CO, CR, CZ, DO, EC, GT, GY, HN, HR, HU, JM, LC, MD, ME, MK, MX, NI, PA, PE, PL, PY, RO, RS, SI, SK, SV, TC, TT, UY, VE"
"Midnight Sun",movie,"Drama, Romance",2018,tt4799066,6.6,37558,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Disobedience,movie,Drama,2017,tt6108178,6.6,37644,US
"Mundo Bita - Bita e o Corpo Humano",movie,Animation,2016,,,,BR
"The Return of Godzilla",movie,"Drama, Horror, Sci-Fi",1984,tt9015178,6.8,2839,US
"I Am Bolt",movie,"Biography, Documentary, Sport",2016,tt4647900,7.1,3967,"AD, BA, BG, CZ, DK, ES, FI, HR, HU, MD, ME, MK, NL, NO, PL, PT, RO, RS, SE, SI, SK"
"Blood Money",movie,"Action, Adventure, Crime",2017,tt3758852,4.5,2670,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Baby Looney Tunes: Eggs-traordinary Adventure",movie,"Adventure, Animation, Comedy",2003,tt0381896,5.8,190,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Zeus,movie,"Biography, Drama, History",2016,tt4842680,6.4,88,PT
"The Conjuring: The Devil Made Me Do It",movie,"Horror, Mystery, Thriller",2021,tt7069210,6.3,146765,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DK, DO, EC, ES, FI, FR, GT, GY, HK, HN, ID, JM, LC, MC, MX, MY, NI, NL, NO, PA, PE, PH, PT, PY, SE, SG, SV, TC, TH, TT, TW, US, UY, VE"
"To Face Her Past",movie,Drama,1996,tt0117923,5.7,167,"AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, GT, GY, HN, HR, HU, JM, LC, MD, ME, MK, MX, NI, PA, PE, PL, PY, RO, RS, SI, SK, SV, TC, TT, UY, VE"
"Angel Has Fallen",movie,"Action, Thriller",2019,tt6189022,6.4,114364,NL
Mass,movie,Drama,2021,tt11389748,7.6,18238,PL
"In the Fade",movie,"Crime, Drama, Thriller",2017,tt5723272,7.1,36268,"FR, MC, PL"
Annette,movie,"Drama, Music, Musical",2021,tt6217926,6.3,23347,PL
"The Immortal Life of Henrietta Lacks",movie,"Biography, Drama, History",2017,tt5686132,6.4,4076,"AD, AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, ES, FI, GT, GY, HK, HN, HR, HU, ID, JM, LC, MD, ME, MK, MX, MY, NI, NL, NO, PA, PE, PL, PT, PY, RO, RS, SE, SI, SK, SV, TC, TH, TT, TW, US, UY, VE"
